,0,1,2,3,4,5,6,7,8,9,10
0,Number of Government health complex and health facility 2011,,,,,,,,,,
1,"

Upazila",Number of hospital/ clinic/ nursing home,"
Number of bed","
Number of doctor","
Number of nurse","
Number of technician","Number of
other staff","Number of patient
under health facility","Number of patient
under health facility","Number of patient
under health facility","Number of patient
under health facility"
2,"

Upazila",Number of hospital/ clinic/ nursing home,"
Number of bed","
Number of doctor","
Number of nurse","
Number of technician","Number of
other staff",Indoor,Indoor,Outdoor,Outdoor
3,"

Upazila",Number of hospital/ clinic/ nursing home,"
Number of bed","
Number of doctor","
Number of nurse","
Number of technician","Number of
other staff",Male,Female,Male,Female
4,Bagerhat Sadar,1,100,24,41,3,35,4690,6476,49256,57821
5,Kachua,1,50,6,16,3,86,1109,1826,7956,9532
6,Rampal,1,50,11,16,3,83,2389,3720,20570,21790
7,Sarankhola,3,31,4,10,5,88,1556,3521,14320,9301
8,Chitalmari,1,31,3,10,4,79,1575,2033,12844,17156
9,Morrelgonj,1,31,11,11,5,151,1200,1520,18420,19310
10,Mongla,1,50,8,17,5,61,742,928,20592,8642
11,Mollahat,1,31,16,11,6,106,2232,2400,20572,55545
12,Fakirhat,1,31,14,11,3,89,6611,10114,35025,500757
13,Total,11,405,97,143,37,778,22104,32538,199555,699854
