,0,1,2,3,4,5,6
0,Land area under irrigation for selected crops 2008,,,,,,
1,Upazila,Paddy,Paddy,Wheat,Wheat,Potato,Potato
2,Upazila,Total area,Irrigated area,Total area,Irrigated area,Total area,Irrigated area
3,Bagerhat Sadar,37171,9045,51,30,120,60
4,Kachua,17864,4221,45,42,214,99
5,Rampal,28378,4134,6,3,114,33
6,Sarankhola,18924,1036,7,7,347,247
7,Chitalmari,31542,20089,90,50,77,36
8,Morrelgonj,52283,3047,16,10,188,57
9,Mongla,15631,1119,7,4,223,26
10,Mollahat,24294,14159,187,98,21,3
11,Fakirhat,19973,10838,80,36,147,140
12,Total,246060,67688,489,280,1451,701
