,0,1,2,3,4,5,6,7,8
0,"Number of school & college (operating jointly), teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Number of institute,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3,Upazila,Number of institute,Male,Female,Total,Male,Female,Total,Students per teacher
4,Amtali,1,18,2,20,330,190,520,26
5,Bamna,0,0,0,0,0,0,0,0
6,Barguna Sadar,0,0,0,0,0,0,0,0
7,Betagi,2,24,4,28,271,364,635,23
8,Patharghata,0,0,0,0,0,0,0,0
9,Total,3,42,6,48,601,554,1155,24
