,0,1,2,3,4,5,6,7,8
0,"Number of school & college (operating jointly), teacher and student 2011",,,,,,,,
1,"
Upazila","Number of
Institute",Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
2,"
Upazila","Number of
Institute",Male,Female,Total,Male,Female,Total,Students per teacher
3,Bhola Sadar,4,38,29,97,361,726,1087,11
4,Burhanuddin,0,0,0,0,0,0,0,0
5,Char Fasson,0,0,0,0,0,0,0,0
6,Daulatkhan,0,,0,0,0,0,0,0
7,Lalmohan,5,125,16,141,1219,805,2024,14
8,Manpura,0,0,0,0,0,0,0,0
9,Tazumuddin,0,0,0,0,0,0,0,0
10,Total,9,163,45,238,1580,1531,3111,13
