,0,1,2,3,4,5,6,7,8
0,"Number of Government college, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of college,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of college,Male,Female,Total,Male,Female,Total,Students per teacher
4,Chandpur Sadar,2,73,19,92,4338,5317,9655,105
5,Foridganj,0,0,0,0,0,0,0,0
6,Haimchar,0,0,0,0,0,0,0,0
7,Hajiganj,0,0,0,0,0,0,0,0
8,Kachua,0,0,0,0,0,0,0,0
9,Matlab Dakshin,0,0,0,0,0,0,0,0
10,Matlab Uttar,0,0,0,0,0,0,0,0
11,Shahrasti,0,0,0,0,0,0,0,0
12,Total,2,73,19,92,4338,5317,9655,105
