,0,1,2,3,4,5,6,7,8
0,"Number of madrasah, teacher and student under the madrasah education board 2011",,,,,,,,
1,"
Upazila",Number of madrasah,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,"Students per
teacher"
2,"
Upazila",Number of madrasah,Male,Female,Total,Male,Female,Total,"Students per
teacher"
3,Chandpur Sadar,28,363,42,405,2872,4368,7240,18
4,Foridganj,52,750,4,754,3751,4448,8199,11
5,Haimchar,11,82,5,87,952,1326,2278,26
6,Hajiganj,22,287,15,302,2870,4443,7313,24
7,Kachua,35,386,34,420,8320,9839,18159,43
8,Matlab Dakshin,17,218,12,230,1705,2991,4696,20
9,Matlab Uttar,12,162,22,184,1235,1540,2775,15
10,Shahrasti,20,281,22,303,1667,3035,4702,16
11,Total,197,2529,156,2685,23372,31990,55362,22
