,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
2,Upazila,2010-11,2010-11,2009-10,2009-10
3,Upazila,Area,Production,Area,Production
4,Bholahat,4,19,3,12
5,Chapai Nawabganj Sadar,12,77,13,84
6,Gomastapur,3,8,4,12
7,Nachole,0,0,0,0
8,Shibganj,5,29,5.5,33
9,Total,24,133,25.5,141
