,0,1,2,3,4
0,Number of cinema hall and audience capacity by municipality 2011,,,,
1,"Upazila/City
corporation","Number of
cinema hall",Audience capacity,Show per day,"Attendance
(daily average)"
2,Anowara,0,0,0,0
3,Banshkhali,0,0,0,0
4,Boalkhali,0,0,0,0
5,Chandanaish,2,240,2,160
6,Chittagong City Corp.,8,4355,21,2572
7,Fatikchhari,0,0,0,0
8,Hathazari,0,0,0,0
9,Lohagara,0,0,0,0
10,Mirsharai,0,0,0,0
11,Patiya,2,250,3,175
12,Rangunia,0,0,0,0
13,Raozan,0,0,0,0
14,Sandwip,0,0,0,0
15,Satkania,0,0,0,0
16,Sitakunda,0,0,0,0
17,Total,12,4845,26,2907
