,0,1,2,3,4
0,Number of bakery and person engaged 2011,,,,
1,Upazila/City corporation,Unit,Person engaged,Person engaged,Person engaged
2,Upazila/City corporation,Unit,Family,Hired,Total
3,Anowara,28,62,85,147
4,Banshkhali,47,47,235,282
5,Boalkhali,13,36,60,96
6,Chandanaish,42,46,126,172
7,Chittagong City Corp,343,631,1762,2393
8,Fatikchhari,43,26,363,389
9,Halishahar,28,54,112,166
10,Hathazari,50,50,0,50
11,Lohagara,10,50,30,80
12,Mirsharai,27,33,137,170
13,Rangunia,25,27,43,70
14,Raozan,35,28,175,203
15,Sandwip,33,45,195,240
16,Satkania,35,43,105,148
17,Sitakunda,31,43,59,102
18,Patiya,62,125,245,370
19,Total,824,1292,3620,4912
