,0,1,2,3,4,5,6
0,"Number of Government office, post office, bank, NGO and dak-banglow, rest house 2011",,,,,,
1,Upazila/City corporation,"All
Government office",Post office,"All
nationalize bank branch",All private bank branch,All NGO’s,Dak-banglow/ rest house
2,Anowara,28,19,8,1,5,1
3,Banshkhali,24,27,5,4,16,1
4,Boalkhali,25,14,5,4,9,1
5,Chandanaish,25,3,11,1,27,2
6,Chittagong City Corp.,130,37,119,163,77,11
7,Fatikchhari,54,33,12,17,15,1
8,Hathazari,24,32,16,13,3,1
9,Lohagara,26,10,3,8,1,2
10,Mirsharai,24,30,20,13,2,4
11,Patiya,15,1,3,6,16,1
12,Rangunia,21,13,11,1,16,2
13,Raozan,24,41,5,7,6,2
14,Sandwip,15,14,3,5,7,3
15,Satkania,29,21,6,8,5,1
16,Sitakunda,41,17,15,17,27,4
17,Total,505,312,242,268,232,37
