,0,1,2,3
0,Number of deep tube-well scheme 2010-11,,,
1,Upazila,Number of deep tube-well,Number of deep tube-well,Area irrigated (In acre)
2,Upazila,Commissioned,Operated,Area irrigated (In acre)
3,Adarsha Sadar,45,55,8838
4,Barura,0,154,6000
5,Brahmanpara,0,96,9287
6,Burichang,0,176,13375
7,Chandina,157,11,4838
8,Chauddagram,0,210,23460
9,Comilla Sadar Dakshin,287,287,15067
10,Daudkandi,9,150,10500
11,Debidwar,123,94,10349
12,Homna,0,1,60
13,Laksam,66,66,4197
14,Monoharganj,0,16,1280
15,Meghna,0,0,0
16,Muradnagar,0,146,12308
17,Nangalkot,0,65,4147
18,Titas,0,6,545
19,Total,687,1533,124251
