,0,1,2,3,4
0,Number of wooden furniture and person engaged 2011,,,,
1,Upazila,Unit,Person engaged,Person engaged,Person engaged
2,Upazila,Unit,Family,Hired,Total
3,Adarsha Sadar,1085,1035,3305,4340
4,Barura,82,48,328,396
5,Brahmanpara,170,180,490,670
6,Burichang,1220,1220,3660,4880
7,Chandina,115,158,405,563
8,Chauddagram,762,1075,3583,4658
9,Comilla Sadar Dakshin,45,45,90,135
10,Daudkandi,70,101,226,327
11,Debidwar,120,120,50,170
12,Homna,105,118,650,768
13,Laksam,158,175,485,660
14,Monoharganj,86,94,351,445
15,Meghna,65,72,260,332
16,Muradnagar,375,860,1165,2025
17,Nangalkot,3100,3100,15500,18600
18,Titas,7,53,185,238
19,Total,7565,8454,30733,39207
