,0,1,2,3,4,5,6,7,8
0,"Number of kawmi madrasah, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of madrasah,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of madrasah,Male,Female,Total,Male,Female,Total,Students per teacher
4,Adarsha Sadar,1,4,1,5,232,52,284,57
5,Barura,12,97,0,97,3740,0,3740,39
6,Brahmanpara,0,0,0,0,0,0,0,0
7,Burichang,0,0,0,0,0,0,0,0
8,Chandina,64,384,0,384,9610,0,9610,25
9,Chauddagram,10,45,20,65,1800,700,2500,38
10,Comilla Sadar Dakshin,28,52,84,112,620,735,1355,12
11,Daudkandi,56,235,17,252,3368,1054,4422,18
12,Debidwar,10,125,5,130,1800,210,2010,15
13,Homna,12,27,0,27,360,0,360,13
14,Laksam,4,48,0,48,1037,0,1037,22
15,Monoharganj,11,88,0,88,2168,112,2280,26
16,Meghna,9,28,0,28,400,180,580,21
17,Muradnagar,11,115,7,122,1500,160,1660,14
18,Nangalkot,55,270,0,270,5695,3655,9350,35
19,Titas,5,17,3,20,434,186,620,31
20,Total,288,1535,137,1648,32764,7044,39808,24
