,0,1,2,3,4,5,6
0,Medical institution and personnel by municipality 2011,,,,,,
1,,,,,,,
2, Upazila,Government institution,Private institution,Medical personal,Medical personal,Medical personal,Medical personal
3, Upazila,Government institution,Private institution,Bed,Doctor,Nurse,Technician
4,Chakaria,1,4,200,16,40,20
5,Cox's Bazar Sadar,1,18,460,38,124,49
6,Kutubdia,0,0,0,0,0,0
7,Moheshkhali,1,0,50,4,2,2
8,Pekua,0,0,0,0,0,0
9,Ramu,1,4,480,44,150,26
10,Teknaf,1,5,50,8,5,2
11,Ukhia,0,0,0,0,0,0
12,Total,5,31,1240,110,321,99
