,0,1,2,3,4,5,6,7,8
0,"Number of college, teacher and student by municipality 2011",,,,,,,,
1,,,,,,,,,
2, Municipality,Number of college,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Municipality,Number of college,Male,Female,Total,Male,Female,Total,Students per teacher
4,Birampur,2,80,24,104,1262,1106,2368,23
5,Birganj,2,55,23,78,241,394,635,8
6,Setabganj,2,61,20,81,577,688,1265,16
7,Dinajpur,11,211,59,270,24336,11395,35931,133
8,Fulbari,2,40,17,57,1119,1170,2289,40
9,Ghoraghat,3,103,16,119,720,578,1298,11
10,Hakimpur,2,61,17,78,814,687,1492,19
11,Parbatipur,4,115,27,142,1422,1498,2920,21
12,Total,28,726,203,929,30491,17516,48198,52
