,0,1,2,3,4
0,Number of cold storage and capacity in following years,,,,
1,(Capacity in metric ton),,,,
2,"
Upazila",2010-11,2010-11,2009-10,2009-10
3,"
Upazila",Number,Installed capacity,Number,Installed capacity
4,Biral,0,0,0,0
5,Birampur,0,0,0,0
6,Birganj,3,24950,3,17700
7,Bochaganj,0,0,0,0
8,Chirirbandar,0,0,0,0
9,Dinajpur Sadar,4,32300,4,32300
10,Fulbari,3,12000,3,10000
11,Ghoraghat,0,0,0,0
12,Hakimpur,0,0,0,0
13,Kaharole,0,0,0,0
14,Khansama,0,0,0,0
15,Nawabganj,0,0,0,0
16,Parbatipur,0,0,0,0
17,Total,10,69250,10,60000
