,0,1,2,3,4,5,6,7,8
0,"Number of registered primary school (class I-V), teacher and student 2011",,,,,,,,
1,"
Upazila","Number of registered
primary school",Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
2,"
Upazila","Number of registered
primary school",Male,Female,Total,Male,Female,Total,Students per teacher
3,Chhagalnaiya,7,18,9,27,493,526,1019,38
4,Daganbhuiyan,18,25,49,74,2806,3981,6787,92
5,Feni Sadar,44,44,102,146,4445,4578,9023,62
6,Fulgazi,13,20,30,50,798,995,1793,36
7,Parshuram,11,18,20,38,891,1017,1908,50
8,Sonagazi,24,43,41,84,2826,3222,6048,72
9,Total,117,168,251,419,12259,14319,26578,63
