,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Rupali and Agrani bank 2011,,,,,,,,,,
1,"
Upazila",Rupali bank,Rupali bank,Rupali bank,Rupali bank,Rupali bank,Agrani bank,Agrani bank,Agrani bank,Agrani bank,Agrani bank
2,"
Upazila",Number of  branch,Account,Account,Account,Account,Number of  branch,Account,Account,Account,Account
3,"
Upazila",Number of  branch,S.D,C.D,F.D,S.T.D,Number of  branch,S.D,C.D,F.D,S.T.D
4,Gopalganj Sadar,1,3910,530,32,69,8,75207,5453,545,196
5,Kashiani,2,6717,537,181,13,1,8701,694,51,34
6,Kotalipara,1,3000,520,32,13,1,204,18,107,29
7,Muksudpur,0,0,0,0,0,3,11492,839,101,37
8,Tungipara,0,0,0,0,0,1,7182,701,28,25
9,Total,4,13627,1587,245,95,14,102786,7705,832,321
