,0,1,2,3,4
0,Area and production at tobacco in following years,,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3,Upazila,2010-11,2010-11,2009-10,2009-10
4,Upazila,Area,Production,Area,Production
5,Bakshiganj,0,0,0,0
6,Dewanganj,8,3,8,3
7,Islampur,0,0,0,0
8,Jamalpur Sadar,16,5,7,2
9,Madarganj,0,0,0,0
10,Melandaha,51,22,53,23
11,Sarishabari,0,0,0,0
12,Total,75,30,68,28
