,0,1,2,3,4,5,6,7
0,Number of jute mill and number of worker 2011,,,,,,,
1,,,,,,,,
2, Upazila,Number of mill,Number of loom (installed),Number of loom,Number of loom,Number of worker,Number of worker,Number of worker
3, Upazila,Number of mill,Number of loom (installed),Operative,Non-operational,Permanent,Temporary,Total
4,Abhaynagar,5,890,714,196,2701,3286,5987
5,Bagherpara,0,0,0,0,0,0,0
6,Chaugachha,0,0,0,0,0,0,0
7,Jessore Sadar,2,56,56,0,1357,951,2308
8,Jhikargachha,0,0,0,0,0,0,0
9,Keshabpur,0,0,0,0,0,0,0
10,Manirampur,0,0,0,0,0,0,0
11,Sharsha,1,132,132,0,0,1500,1500
12,Total,8,1078,902,196,4058,5737,9795
