,0,1,2,3,4,5,6
0,"Area and production of jackfruit, bana and pineapple 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,"
Upazila",Jackfruits,Jackfruits,Bana,Bana,Pineapple,Pineapple
3,"
Upazila",Area,Production,Area,Production,Area,Production
4,Harinakunda,27,1746,157,1106,0,0
5,Jhenaidah Sadar,720,1305,1210,7260,0,0
6,Kaliganj,39,751,582,2586,0,0
7,Kotchandpur,30,438,578,2987,0,0
8,Mahespur,1431,8801,2152,12912,0,0
9,Shailkupa,116,2445,4006,13424,4,7
10,Total,2363,15486,8685,40275,4,7
