,0,1,2,3,4,5,6,7,8
0,"Number of private (non-registered) primary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2,Upazila,Number of Non-govt. primary school,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
3,Dighinala,15,35,25,60,624,601,1225,20
4,Khagrachhari Sadar,15,35,23,58,935,1143,2078,36
5,Laxshmichhari,19,40,13,53,521,451,972,18
6,Mahalchhari,17,36,17,51,473,445,918,18
7,Manikchhari,1,2,2,4,75,66,141,35
8,Matiranga,27,42,62,104,1230,2283,3513,34
9,Panchhari,5,8,7,15,450,300,750,50
10,Ramgarh,3,5,7,12,164,169,333,14
11,Total,102,203,156,357,4472,5458,9930,28
