,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of Person, Institute Borrowing Money from all Private Commercial Bank 2011",,,,,,,,,,,
1,,Number,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,Thana/ Upazila/ City Corporation,"of branch of all
Private commerci",Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
3,Thana/ Upazila/ City Corporation,"of branch of all
Private commerci","Agriculture
debt","Agriculture
debt",Industry debt,Industry debt,Others debt,Others debt,"Number of
borrower","Number of
borrower","Total debt
(Crore)","Total debt
(Crore)"
4,Thana/ Upazila/ City Corporation,"of branch of all
Private commerci",Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
5,,al bank,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
6,Batiaghata,2,7,1,0,0,298,20,508,156,11.32,1.91
7,Dacope,2,406,0,0,0,37,0,443,0,3.79,0
8,Dighalia,2,215,29,0,0,105,120,320,149,1.86,0.82
9,Dumuria,6,290,200,0,0,276,3,556,203,14.48,0.5
10,Khulna City Corporation,27,1992,3001,37,10,3894,396,5923,3401,54.46,40.44
11,Koyra,2,1070,1210,0,0,0,0,1070,1210,1.2,1.4
12,Paikgachha,0,0,0,0,0,0,0,0,0,0,0
13,Phultala,1,700,200,0,0,250,150,950,350,1,0.5
14,Rupsa,0,0,0,0,0,0,0,0,0,0,0
15,Terokhada,0,0,0,0,0,0,0,0,0,0,0
16,Total,42,4680,4641,37,10,4860,689,9770,5469,88.11,46
