,0,1,2,3,4
0,"Area and production at water melon, melon (bangi) in following years",,,,
1,,,,,
2,(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton),(Area in acre and production in metric ton)
3,Upazila,2010-11,2010-11,2009-10,2009-10
4,Upazila,Area,Production,Area,Production
5,Bhurungamari,20,33,15,25
6,Char Rajibpur,0,0,0,0
7,Chilmari,0,0,0,0
8,Kurigram Sadar,20,200,25,250
9,Nageshwari,0,0,0,0
10,Phulbari,0,0,0,0
11,Rajarhat,0,0,0,0
12,Raumari,0,0,0,0
13,Ulipur,13,39,14,40
14,Total,53,272,54,315
