,0,1,2,3,4,5,6,7
0,"Number of household, population and density 2011",,,,,,,
1,,,,,,,,
2, Upazila, Household,Population,Population,Population,Sex ratio (M/F),Average size of household,Density per sq. km.
3, Upazila, Household,Male,Female,Total,Sex ratio (M/F),Average size of household,Density per sq. km.
4,Daulotpur,38786,80489,86537,167026,93,4.31,765
5,Gheor,34796,70945,75347,146292,94,4.19,982
6,Horirampur,33513,65815,73503,139318,90,4.15,570
7,Manikganj Sadar,71202,149407,160006,309413,93,4.28,1438
8,Saturia,40644,83653,87841,171494,95,4.20,1223
9,Shibalaya,40795,85216,86657,171873,98,4.19,863
10,Singair,65058,140834,146617,287451,96,4.36,1321
11,Total,324794,676359,716508,1392867,94,4.26,1007
