,0,1,2,3,4,5,6
0,"Area and production of tomato, radish and bean 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,"
Upazila",Tomato,Tomato,Radish,Radish,Bean,Bean
3,"
Upazila",Area,Production,Area,Production,Area,Production
4,Barlekha,222,1620,161,615,247,150
5,Juri,173,3830,309,3275,136,220
6,Kamalganj,610,12500,305,5125,271,715
7,Kulaura,86,420,62,149,320,1560
8,Moulvibazar Sadar,96,305,211,966,99,122
9,Rajnagar,41,98,55,222,27,24
10,Sreemangal,358,3770,173,1400,135,165
11,Total,1586,22543,1276,11752,1235,2956
