,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2,Upazila,Krishi bank Number of branch Number of branch,Krishi bank Account S.DI C.D I F.DI S.T.D,Co-operative bank Number of branch Number of branch,Co-operative bank Account S.D I CD I F.D I S.T.D,,,,,,
3,Gazaria,2,9200,394,3127,16,0,0,0,0,0
4,Lauhajang,3,9795,415,364,18,0,0,0,0,0
5,Munshiganj Sadar,2,3605,84,81,0,0,0,0,0,0
6,Serajdi.khan,2,9677,325,125,7,0,0,0,0,0
7,Sreenagar,5,15896,561,520,30,0,0,0,0,0
8,Tongibari,3,5183,187,124,3,0,0,0,0,0
9,Total,17,49751,1882,4260,74,0,0,0,0,0
