,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,"
Upazila",Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
2,"
Upazila","Weaving/
handloom",Handy,"Husking
crafts mill","Goor
processing","Biri
factory","Salt
processing","Dry fish
processing",Pottery,Others
3,Bhaluka,220,0,210,0,0,0,0,110,0
4,Dhubaura,0,0,3200,0,0,0,0,220,0
5,Fulbaria,4,0,335,155,0,0,0,195,85
6,Gaffargaon,0,1018,627,0,1,0,0,0,0
7,Gauripur,0,0,1500,0,1,0,0,0,175
8,Haluaghat,90,127,270,0,0,0,0,58,450
9,Ishwargonj,50,1032,355,0,0,0,0,145,0
10,Muktagacha,305,420,342,0,1,0,0,70,0
11,Mymensingh Sadar,60,320,214,0,0,0,0,70,4870
12,Nandail,0,110,85,0,0,0,0,147,0
13,Phulpur,14,1500,55,0,1,0,0,236,20
14,Trishal,0,180,360,0,3,0,0,0,0
15,Total,743,4707,7553,155,7,0,0,1251,5600
