,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
2,"
Upazila",Labour,Labour,Labour
3,"
Upazila",Male,Female,"Child
(under 15 years old)"
4,Bhaluka,250,210,0
5,Dhobaura,250,200,150
6,Fulbaria,300,230,150
7,Gafargaon,300,200,200
8,Gauripur,250,180,180
9,Haluaghat,350,300,250
10,Ishwargonj,300,250,150
11,Muktagacha,300,200,200
12,Mymensingh Sadar,250,0,150
13,Nandail,250,200,100
14,Phulpur,250,0,150
15,Trishal,300,250,200
16,Average,279,222,171
