,0,1,2,3,4,5,6
0,"Area and production of wheat, jute and sugarcane 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,"
Upazila",Wheat,Wheat,Jute,Jute,Sugarcane,Sugarcane
3,"
Upazila",Area,Production,Area,Production,Area,Production
4,Atrai,2300,52,34,24,11,110
5,Badalgachhi,1685,1383,4176,4229,603,11680
6,Dhamoirhat,650,552,636,574,1076,12912
7,Manda,3912,3732,1212,1093,264,4926
8,Mahadebpur,2000,1920,419,423,1255,20590
9,Naogaon sadar,1870,1590,1769,1592,25,458
10,Niamatpur,3875,3670,0,0,0,0
11,Patnitala,1700,1802,709,644,2863,40554
12,Porsha,3670,3116,0,0,5,2
13,Raninagar,96,84,14,13,18,347
14,Sapahar,6429,6223,23,21,0,0
15,Total,28187,24125,8992,8612,6120,91579
