,0,1,2,3,4,5,6
0,Police personnel and criminal offences by municipality 2011,,,,,,
1,"
Upazila",Police personnel,Criminal offence,Criminal offence,Traffic accident (Reported),Traffic accident (Reported),Traffic accident (Reported)
2,"
Upazila",Police personnel,"Number of
offence","Number of
case filled","Number of
accident","Person
killed","Person
injured"
3,Atpara,0,0,0,0,0,0
4,Barhatta,0,0,0,0,0,0
5,Durgapur,0,39,166,1,1,0
6,Kalmakanda,0,0,0,0,0,0
7,Kendua,10,26,26,0,0,0
8,Khaliajuri,0,0,0,0,0,0
9,Madan,33,119,119,0,0,0
10,Mohanganj,38,189,189,2,1,1
11,Netrokona Sadar,0,0,0,0,0,0
12,Purbadhala,0,0,0,0,0,0
13,Total,81,373,500,3,2,1
