,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,"
Upazila",Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Janata bank,Janata bank,Janata bank,Janata bank,Janata bank
2,"
Upazila",Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
3,"
Upazila",Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
4,Atpara,1,11904,120,62,37,1,1103,129,25,3
5,Barhatta,1,2179,267,45,21,0,0,0,0,0
6,Durgapur,1,0,1602,114,49,0,0,0,0,0
7,Kalmakanda,1,5830,1118,149,44,0,0,0,0,0
8,Kendua,1,7776,400,80,36,0,0,0,0,0
9,Khaliajuri,2,240,24,4,7,275,0,0,0,0
10,Madan,1,325,15,78,103,0,0,0,0,0
11,Mohanganj,1,3013,386,20,27,1,4238,582,34,14
12,Netrokona Sadar,4,19469,3902,187,115,2,8872,938,102,38
13,Purbadhala,1,6500,575,59,54,1,1800,146,18,7
14,Total,14,57236,8409,798,493,280,16013,1795,179,62
