,0,1,2,3,4,5,6
0,"Area and production of mango, litchi and blackberry 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,"
Upazila",Mango,Mango,Litchi,Litchi,Blackberry,Blackberry
3,"
Upazila",Area,Production,Area,Production,Area,Production
4,Atpara,336,1305,8,17,43,306
5,Barhatta,248,993,9,19,65,475
6,Durgapur,60,546,111,49,16,68
7,Kalmakanda,3730,6028,30,33,104,535
8,Kendua,451,5315,18,95,111,394
9,Khaliajuri,22,5,0,0,2,0
10,Madan,52,387,4,35,2,14
11,Mohanganj,650,1820,8,8,28,33
12,Netrokona Sadar,55,1807,5,44,8,8
13,Purbadhala,70,1318,8,163,19,182
14,Total,5673,19523,200,463,397,2016
