,0,1,2,3,4,5,6,7,8
0,"Number of NGO school, teacher and student 2011",,,,,,,,
1,"
Upazila",Number of NGO school,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
2,"
Upazila",Number of NGO school,Male,Female,Total,Male,Female,Total,Students per teacher
3,Dimla,156,37,153,190,2921,3899,6820,36
4,Domar,150,66,84,150,2020,2480,4500,30
5,Jaldhaka,290,40,250,290,4125,5500,9625,33
6,Kishorgonj,149,0,149,149,1626,2652,4278,28
7,Nilphamary Sadar,232,0,232,232,3238,3722,6960,30
8,Sayedpur,34,0,34,34,315,722,1037,31
9,Total,1011,143,902,1045,14245,18975,33220,32
