,0,1,2,3,4,5,6,7,8
0,Number of ebtedayee madrasah 2011,,,,,,,,
1,Upazila,Number of madrasah,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
2,Upazila,Number of madrasah,Male,Female,Total,Male,Female,Total,Students per teacher
3,Begumganj,4,17,3,20,251,375,626,31
4,Chatkhil,19,59,9,68,1350,1631,2981,44
5,Companiganj,9,30,7,37,184,298,482,13
6,Hatiya,8,32,0,32,242,102,344,62
7,Kabirhat,11,38,5,43,1011,819,1830,43
8,Noakhali Sadar,4,14,6,20,477,421,898,45
9,Senbagh,3,11,1,12,360,288,648,54
10,Sonaimuri,9,40,0,40,416,600,1016,25
11,Subarnachar,13,32,20,52,1232,1580,2812,54
12,Total,80,273,51,324,5523,6114,11637,29
