,0,1,2,3,4,5,6,7,8
0,Number of small and cottage industry 2011,,,,,,,,
1,,,,,,,,,
2,Upazila Upazila 1,Small scale and cottage industry Weaving/ handloom 2,Small scale and cottage industry Handy 3,Small scale and cottage industry Husking crafts mill 4,Small scale and cottage industry Molases (Gur) processing 5,Small scale and cottage industry Biri Factory 6,Small scale and cottage industry Salt processing 7,Small scale and cottage industry Dry fish processing 8,Small scale and cottage industry Pottery 9
3,Atgharia,1020,1020,37,0,0,0,0,0
4,Bera,9951,597,62,0,0,0,0,78
5,Bhangura,65,112,62,3,0,0,0,7
6,Chatmohar,281,1502,525,0,0,0,0,58
7,Faridpur,532,82,24,3,0,0,5,14
8,Ishwardi,392,112,1711,29,1,0,0,48
9,Pabna Sadar,1638,29,632,19,7,0,0,261
10,Santhia,1420,312,2545,10,0,0,0,207
11,Sujanagar,3380,76,630,0,2,0,0,46
12,Total,18679,3842,6228,63,10,0,5,719
