,0,1,2,3,4,5,6
0,Area and production of potato by type 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,"
Upazila",Potato,Potato,Sweet potato,Sweet potato,Total potato,Total potato
3,"
Upazila",Area,Production,Area,Production,Area,Production
4,Atwari,2223,8074,114,69.18,2337,8188
5,Boda,3275,19650,210,546,3485,20196
6,Debiganj,9985,53237,60,231,10045,53297
7,Panchagarh Sadar,2677,6818,176,399,2853,7217
8,Tentulia,1514,7814,0,0,1514,7814
9,Total,19674,95593,560,1245.18,20234,96712
