,0,1,2,3,4,5,6
0,"Area and production of brinjal, lady s finger and arum 2009-10",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,"
Upazila",Brinjal,Brinjal,Lady’s finger,Lady’s finger,Arum,Arum
3,"
Upazila",Area,Production,Area,Production,Area,Production
4,Bauphal,97,88,26,19,65,97
5,Dashmina,37,450,70,168,12,125
6,Dumki,14,4,7,4,6,11
7,Galachipa,35,172,55,220,22,220
8,Kalapara,21,20,11,6,12,34
9,Mirzaganj,15,11,22,22,30,51
10,Patuakhali Sadar,22,22,20,15,21,36
11,Total,241,767,211,454,167,575
