,0,1,2,3,4,5,6
0,"Area and production of pumpkin, parble (potol) and cabbage 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,"
Upazila",Pumpkin,Pumpkin,Parble (potol),Parble (potol),Cabbage,Cabbage
3,"
Upazila",Area,Production,Area,Production,Area,Production
4,Bauphal,80,94,0,0,37,56
5,Dashmina,65,390,0,0,27,440
6,Dumki,47,282,0,0,9,13
7,Galachipa,150,3036,0,0,37,525
8,Kalapara,58,139,0,0,7,20
9,Mirzaganj,16,27,0,0,14,34
10,Patuakhali Sadar,34,68,0,0,16,33
11,Total,450,4036,0,0,146,1120
