,0,1,2,3,4,5,6,7,8
0,"Number of kawmi madrasah, teacher and student 2011",,,,,,,,
1,"
Upazila",Number of madrasah,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,"Students
per teacher"
2,"
Upazila",Number of madrasah,Male,Female,Total,Male,Female,Total,"Students
per teacher"
3,Bauphal,9,12,2,14,281,21,302,22
4,Dashmina,0,0,0,0,0,0,0,0
5,Dumki,0,0,0,0,0,0,0,0
6,Galachipa,2,5,0,5,315,0,315,63
7,Kalapara,0,0,0,0,0,0,0,0
8,Mirzaganj,5,27,0,27,567,0,567,21
9,Patuakhali Sadar,4,9,0,9,180,46,225,25
10,Total,20,53,2,55,1343,67,1409,26
