,0,1,2,3,4,5,6,7,8,9,10
0,Number of Non-Government health complex and health facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,  Upazila,Number of hospital/ clinic/ nursing home, Number of bed, Number of doctor, Number of nurse, Number of technician,Number of other staff,Number of patient under health facility,Number of patient under health facility,Number of patient under health facility,Number of patient under health facility
3,  Upazila,Number of hospital/ clinic/ nursing home, Number of bed, Number of doctor, Number of nurse, Number of technician,Number of other staff,Indoor,Indoor,Outdoor,Outdoor
4,  Upazila,Number of hospital/ clinic/ nursing home, Number of bed, Number of doctor, Number of nurse, Number of technician,Number of other staff,Male,Female,Male,Female
5,Bhandaria,3,41,3,12,0,18,54,849,0,392
6,Kawkhali,1,10,3,3,3,2,210,256,342,452
7,Mathbaria,6,70,14,21,6,24,120,480,1224,4896
8,Nazirpur,0,0,0,0,0,0,0,0,0,0
9,Nesarabad,3,30,6,11,3,12,519,689,1412,1520
10,Pirojpur Sadar,9,120,10,64,6,31,8240,9128,2630,3438
11,Zianagar,0,0,0,0,0,0,0,0,0,0
12,Total,22,271,36,111,18,87,9143,11402,5608,10698
