,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,"

Upazila","
Number of branch of all private commercial banks",Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila","
Number of branch of all private commercial banks","Agriculture
debt","Agriculture
debt",Industry debt,Industry debt,Other debt,Other debt,"Number of
borrower","Number of
borrower","Total debt
(crore tk)","Total debt
(crore tk)"
3,"

Upazila","
Number of branch of all private commercial banks",Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Bhandaria,2,1,3,0,0,194,19,195,22,7,1
5,Kawkhali,0,0,0,0,0,0,0,0,0,0,0
6,Mathbaria,3,6212,3010,0,0,4218,2112,10430,5122,165,110
7,Nazirpur,1,0,0,17,0,48,0,60,0,1,0
8,Nesarabad,8,111,8261,3,1826,598,3568,712,13645,8,47
9,Pirojpur Sadar,5,481,30,0,0,656,65,437,95,51,1
10,Zianagar,3,0,0,0,0,0,10239,0,10239,0,9
11,Total,22,6805,11304,20,1826,5714,16003,11834,29123,232,168
