,0,1,2,3,4,5,6
0,Area and production of potato by type 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Potato,Potato,Sweet potato,Sweet potato,Total potato,Total potato
3, Upazila,Area,Production,Area,Production,Area,Production
4,Assasuni,265,1203,0,0,265,1203
5,Debhata,728,4224,0,0,728,4224
6,Kalaroa,590,3894,11,26,601,3920
7,Kaliganj,1660,10405,12,75,1672,10480
8,Satkhira Sadar,2090,16567,34,146,2124,16713
9,Shyamnagar,641,3505,0,0,641,3505
10,Tala,3200,19786,12,28,3212,19814
11,Total,9174,59584,69,275,9243,59859
