,0,1,2,3,4,5,6,7,8
0,"Number of private (non-registered) primary school (class I-V), teacher and student 2011",,,,,,,,
1,"
Upazila","Number of Non- govt. primary
school",Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
2,"
Upazila","Number of Non- govt. primary
school",Male,Female,Total,Male,Female,Total,Students per teacher
3,Assasuni,2,6,2,8,166,146,312,39
4,Debhata,1,2,2,4,90,63,153,38
5,Kalaroa,2,2,10,12,125,106,231,19
6,Kaliganj,3,4,4,8,126,175,301,38
7,Satkhira Sadar,2,3,1,4,124,120,244,61
8,Shyamnagar,7,12,16,28,304,306,610,22
9,Tala,1,3,1,4,65,54,119,30
10,Total,18,32,36,68,1000,970,1970,29
