,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,,,,,,,,,,,
2, Upazila,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Sonali bank,Janata bank,Janata bank,Janata bank,Janata bank,Janata bank
3, Upazila,Number of branch,Account,Account,Account,Account,Number of branch,Account,Account,Account,Account
4, Upazila,Number of branch,S.D,C.D,F.D,S.T.D,Number of branch,S.D,C.D,F.D,S.T.D
5,Jhenaigati,1,6046,277,30,49,1,8,0,67,30
6,Nakla,1,714,0,90,42,2,6830,512,69,5
7,Nalitabari,1,3630,1294,58,29,0,0,0,0,0
8,Sherpur Sadar,3,13355,1821,304,109,3,7632,1150,207,106
9,Sreebardi,1,9693,613,211,34,1,11012,91,41,3
10,Total,7,33438,4005,693,263,7,25482,1753,384,144
