,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,"

Upazila",Number of branch of all nationalized banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila",Number of branch of all nationalized banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,"Number of
borrower","Number of
borrower","Total debt
(crore tk)","Total debt
(crore tk)"
3,"

Upazila",Number of branch of all nationalized banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Belkuchi,12,3645,4,61,0,1659,284,5365,576,35,4
5,Chauhali,3,3884,41,0,0,916,435,4800,476,3,2
6,Kamarkhanda,4,3045,12,5,5,455,76,3523,70,2,5
7,Kazipur,6,225,12,21,2,37,13,283,27,6,0
8,Royganj,13,6769,332,2,0,2286,107,9246,456,29,3
9,Shahjadpur,11,1219,191,1,0,1141,24,3762,215,308,1
10,Sirajganj Sadar,16,6967,413,109,21,2686,129,9762,563,81,14
11,Tarash,7,2401,204,0,0,1150,551,3551,755,154,22
12,Ullahpara,11,5391,196,28,0,1749,224,7168,420,54,2
13,Total,83,33546,1405,227,28,12079,1843,47460,3558,670,52
