,0,1,2,3,4,5,6
0,Area and production of rice crop 2009-2010,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila/City corporation,Aus,Aus,Aman,Aman,Boro,Boro
3,Upazila/City corporation,Area,Production,Area,Production,Area,Production
4,Balaganj,5190,4654,32715,33172,25208,30567
5,Beanibazar,1321.5,2.25,32851,2.28,15721.6,2.33
6,Bishwanath,8900,8484,33950,27474.5,14830,16463
7,Companiganj,1776,1549,11887,11699,25677,25468
8,Dakhin surma,7604,7042,29118,29383,12490,3344
9,Fenchuganj,2500,6312,4625,15625,2824,13495
10,Golapganj,9335,8497,30650,29260,8730,15670
11,Gowainghat,5400,1237.09,41450,4009.45,17310,14981.01
12,Jaintiapur,9530,12435,23700,26650,10280,11500
13,Kanaighat,18698,25700,49400,60200,9139,18046
14,Sylhet city corporation,0,0,0,0,0,0
15,Sylhet sadar,6545.5,5167,24206,20482,12412,17889
16,Zakiganj,5540,4155,23200,15548,7800,5970
17,Total,82340,85234.34,337752,273505.23,162421.6,173395.34
