,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Pubali and Uttara bank 2011,,,,,,,,,,
1,"
Upazila",Pubali bank,Pubali bank,Pubali bank,Pubali bank,Pubali bank,Uttara bank,Uttara bank,Uttara bank,Uttara bank,Uttara bank
2,"
Upazila",Number of branch,Account,Account,Account,Account,Number of  branch,Account,Account,Account,Account
3,"
Upazila",Number of branch,S.D,C.D,F.D,S.T.D,Number of  branch,S.D,C.D,F.D,S.T.D
4,Basail,0,0,0,0,0,0,0,0,0,0
5,Bhuapur,0,0,0,0,0,0,0,0,0,0
6,Delduar,1,4087,590,286,8,0,0,0,0,0
7,Dhanbari,0,0,0,0,0,0,0,0,0,0
8,Ghatail,1,4805,178,117,6,0,0,0,0,0
9,Gopalpur,1,144,43,83,0,0,0,0,0,0
10,Kalihati,0,0,0,0,0,0,0,0,0,0
11,Madhupur,0,0,0,0,0,0,0,0,0,0
12,Mirzapur,0,0,0,0,0,0,0,0,0,0
13,Nagarpur,0,0,0,0,0,0,0,0,0,0
14,Sakhipur,0,0,0,0,0,0,0,0,0,0
15,Tangail Sadar,3,5199,752,723,76,1,2620,454,68400,42915
16,Total,6,14235,1563,1209,90,1,2620,454,68400,42915
