,0,1,2,3,4,5,6
0,Broad soil classification 2008,,,,,,
1,"
Upazila","
Total",Soil classification,Soil classification,Soil classification,Soil classification,Soil classification
2,"
Upazila","
Total",Doash,Bele,Etel,Kankar,Others
3,Basail,30580,1234,0,29346,0,0
4,Bhuapur,41544,31961,7805,1778,0,0
5,Delduar,44472,29889,548,4581,0,521
6,Dhanbari,32159,26207,25,1359,0,4570
7,Ghatail,71386,23218,2100,15314,0,33838
8,Gopalpur,36687,33205,1012,2470,0,0
9,Kalihati,69540,50069,4868,12517,0,2086
10,Madhupur,91367,58020,31862,1485,0,0
11,Mirzapur,86000,67500,1200,4000,2000,11300
12,Nagarpur,53610,53383,7470,10757,0,0
13,Sakhipur,105963,17835,0,40000,0,48128
14,Tangail Sadar,70526,42315,21157,7054,0,0
15,Total,733834,434836,78047,130661,2000,100443
