,0,1,2,3,4
0,Number of agriculture holding by tenure,,,,
1,,,,,
2,Upazila,Total farm holding,Owner holding,Owner cum tenant,Tenant holding
3,Basail,23546,13109,10028,409
4,Bhuapur,45173,25476,13982,5715
5,Delduar,27171,15524,11342,305
6,Dhanbari,29037,12665,16057,315
7,Ghatail,65890,32231,31827,1832
8,Gopalpur,43268,18621,23631,1016
9,Kalihati,51788,24427,25519,1842
10,Madhupur,67893,42833,20758,4302
11,Mirzapur,52635,31686,20250,5050
12,Nagarpur,41486,21566,19036,884
13,Sakhipur,44845,28447,15211,1187
14,Tangail Sadar,46144,25261,19126,1757
15,Total,538876,291846,226767,24614
