,0,1,2,3,4,5,6
0,"Area and production of pepper, onion and garlic 2009-10",,,,,,
1,Bagerhat,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Pepper - Area,Pepper - Production,Onion - Area,Onion - Production,Garlic - Area,Garlic - Production
4,Bagerhat Sadar,200,50,14,19,6,9
5,Kachua,28,13,74,210,30,26
6,Rampal,44,17,11,20,9,4
7,Sharonkhola,67,79,21,35,0,0
8,Chitolmari,89,145,52,70,26,22
9,Morrelgonj,495,147,33,45,23,21
10,Mongla,6,5,0,0,0,0
11,Mollahat,27,16,84,106,19,21
12,Fakirhat,149,37,27,71,10,22
13,Total,1105,509,316,576,123,125
