,0,1,2,3,4,5,6,7,8
0,"Number of Government secondary school, teacher and student 2011",,,,,,,,
1,Barisal,,,,,,,,
2,,,,,,,,,
3,Upazila/city corporation,Number of school,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Student per teacher
4,Agailjhara,0,0,0,0,0,0,0,0
5,Babuganj,0,0,0,0,0,0,0,0
6,Bakerganj,0,0,0,0,0,0,0,0
7,Banaripara,0,0,0,0,0,0,0,0
8,Barisal city corporation,2,56,47,103,2356,2532,4888,47
9,Barisal Sadar,0,0,0,0,0,0,0,0
10,Gaurnadi,0,0,0,0,0,0,0,0
11,Hizla,0,0,0,0,0,0,0,0
12,Mehendiganj,0,0,0,0,0,0,0,0
13,Muladi,0,0,0,0,0,0,0,0
14,Wazirpur,0,0,0,0,0,0,0,0
15,Total,2,56,47,103,2356,2532,4888,47
