,0,1,2,3,4,5,6,7,8
0,Percentage distribution of population by type of disability 2011,,,,,,,,
1,BrahmanBaria,,,,,,,,
2,,,,,,,,,
3,Upazila,Total population,All,Speech,Vision,Hearing,Physical,Mental,Autistic
4,Akhaura,145215,1.3,0.2,0.2,0.1,0.5,0.1,0.1
5,Ashuganj,180654,1.0,0.2,0.1,0.1,0.4,0.1,0.1
6,Brahmanbaria Sadar,521994,1.1,0.2,0.2,0.1,0.4,0.1,0.1
7,Banchrampur,298430,1.2,0.2,0.2,0.1,0.4,0.2,0.1
8,Bijoynogor,257247,1.2,0.2,0.2,0.1,0.4,0.1,0.1
9,Kasba,319221,1.1,0.2,0.2,0.1,0.4,0.1,0.1
10,Nabinagar,493518,1.4,0.2,0.2,0.1,0.5,0.2,0.1
11,Nasirnagar,309011,1.4,0.2,0.4,0.1,0.4,0.1,0.1
12,Sarail,315208,1.0,0.2,0.2,0.1,0.4,0.1,0.1
13,Total,2840498,1.2,0.2,0.2,0.1,0.4,0.1,0.1
