,0,1,2,3,4,5,6,7,8
0,"Number of college, teacher and student by municipality 2011",,,,,,,,
1,Chandpur,,,,,,,,
2,,,,,,,,,
3, Municipality,Number of college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Chandpur Sadar,3,95,28,123,4897,5816,10713,87
5,Foridganj,1,28,1,29,571,708,1279,44
6,Haimchar,0,0,0,0,0,0,0,0
7,Hajiganj,3,71,24,95,2897,2304,5201,55
8,Kachua,1,42,12,54,537,797,1334,24
9,Matlab Dakshin,3,52,26,78,1424,1595,3019,39
10,Matlab Uttar,2,27,6,33,292,245,537,16
11,Shahrasti,2,34,17,51,558,998,1556,31
12,Total,15,349,114,463,11176,12463,23639,42.28
