,0,1,2,3,4,5,6
0,"Area and production of wheat, jute and sugarcane 2010-11",,,,,,
1,Chapai_Nawabganj,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Wheat - Area,Wheat - Production,Jute - Area,Jute - Production,Sugarcane - Area,Sugarcane - Production
4,Bholahat,3482,4299,25,13,217,4506
5,Chapai Nawabganj Sadar,3886,4935,109,54,165,2475
6,Gomastapur,4580,5009,0,0,300,7323
7,Nachole,850,1198,0,0,33,556
8,Shibganj,24460,32543,186,209,5801,77491
9,Total,37258,47984,320,276,6516,92351
