,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Chapai_Nawabganj,,,,,,,,,
2,,,,,,,,,,
3, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
4,Bholahat,0,230,47,50,0,0,0,0,3856
5,Chapai Nawabganj Sadar,90,390,355,10,0,0,0,75,1773
6,Gomastapur,1480,210,116,10,0,0,0,20,425
7,Nachole,0,404,625,0,0,0,0,0,300
8,Shibganj,946,340,410,150,0,0,0,43,500
9,Total,2516,1574,1553,220,0,0,0,138,6854
