,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Krishi and Co-operative bank 2011,,,,,,,,,,
1,Gazipur,,,,,,,,,,
2,,,,,,,,,,,
3, Upazila,Krishi bank - Number of branch,Krishi bank - Account - S.D,Krishi bank - Account - C.D,Krishi bank - Account - F.D,Krishi bank - Account - S.T.D,Co-operative bank - Number of branch,Co-operative bank - Account - S.D,Co-operative bank - Account - C.D,Co-operative bank - Account - F.D,Co-operative bank - Account - S.T.D
4,Gazipur Sadar,4,20136,652,277,39,1,0,0,0,0
5,Kaliakair,3,19745,408,155,21,0,0,0,0,0
6,Kaliganj,2,14,4212,198,14,0,0,0,0,0
7,Kapashia,4,36210,1410,1050,18,1,1000,0,340,0
8,Sreepur,2,1319,295,30,5,0,0,0,0,0
9,Total,15,77424,6977,1710,97,2,1000,0,340,0
