,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,Jamalpur,,,,,,,
2,,,,,,,,
3,Upazila,Current fallow,Temporary cropped area - Single,Temporary cropped area - Double,Temporary cropped area - Triple,Temporary cropped area - Net,Temporary cropped area - Gross,Productivity of crop
4,Bakshiganj,74,1251,14956,12851,29058,69716,190
5,Dewanganj,690,3222,3940,20424,27586,72374,182
6,Islampur,1251,3632,16743,18992,39367,94094,179
7,Jamalpur Sadar,526,15120,49890,25220,90230,190560,195
8,Madarganj,186,8381,14893,19364,42638,96259,189
9,Melandaha,101,6124,33481,12003,51608,109095,195
10,Sarishabari,163,1407,34179,13702,49288,110871,193
11,Total,2991,39137,168082,122556,329775,742969,190
