,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata bank 2011,,,,,,,,,,
1,Joypurhat,,,,,,,,,,
2,,,,,,,,,,,
3, Upazila,Sonali bank - Number of branch,Sonali bank - Account - S.D,Sonali bank - Account - C.D,Sonali bank - Account - F.D,Sonali bank - Account - S.T.D,Janata bank - Number of branch,Janata bank - Account - S.D,Janata bank - Account - C.D,Janata bank - Account - F.D,Janata bank - Account - S.T.D
4,Akkelpur,1,5977,1005,100,33,1,4732,812,65,23
5,Joypurhat sadar,3,20940,1651,217,121,1,7180,639,289,49
6,Kalai,2,7028,90,48,86,0,0,0,0,0
7,Khetlal,1,9000,0,100,68,0,0,0,0,0
8,Panchbibi,1,406,56,16,2,480,405,65,18,2
9,Total,8,43351,2802,481,310,482,12317,1516,372,74
