,0,1,2,3,4,5,6
0,"Selected poultry, bird 2008",,,,,,
1,Khagrachori,,,,,,
2,,,,,,,
3,Upazila Nane,Hen and cocks Holding reporting,Hen and cocks Total number,Ducks Holding reporting,Ducks Total number,Others Holding reporting,Others Total number
4,Dighinala,12346,152358,1826,12243,196,1896
5,Khagrachori,96690,119519,5299,7631,1638,2511
6,Laxshmichhari,3811,47190,302,1669,0,0
7,Mahalchhari,3650,13550,720,2550,257,1030
8,Manikchhari,8431,12309,1625,8109,0,0
9,Matiranga,6678,320514,1805,5415,1008,4032
10,Panchhari,202,969,10,43,00,212
11,Ramgarh,65,83950,1,22,0,0
12,Total,131873,750359,11588,37682,3099,9681
