,0,1,2,3,4,5,6
0,"Area and Production of papaya, guava, lime and lemon 2010-11",,,,,,
1,Khulna,,,,,,
2,(Area in acre  production in metric ton),,,,,,
3,Upazila/city corporation,Papaya Area,Papaya Production,Guava Area,Guava Production,Lime and lemon Area,Lime and lemon Production
4,Batiaghata,32,65,23,320,65,70
5,Dacope,3,38,17,79,11,17
6,Dighalia,71,118,36,369,37,630
7,Dumuria,42,260,14,149,15,412
8,Khulna City Corporation,7,23,9,36,15,58
9,Koyra,5,31,4,57,3,11
10,Paikgachha,15,1409,7,71,8,41
11,Phultala,16,115,16,137,12,262
12,Rupsa,20,46,31,241,48,324
13,Terokhada,40,100,47,145,23,67
14,Total,252,2205,204,1604,237,1891
