,0,1,2,3,4,5,6
0,"Area and Production of pumpkin, parble (potol) and cabbage 2010-11",,,,,,
1,Khulna,,,,,,
2,(Area in acre  production in metric ton),,,,,,
3,Upazila/city corporation,Pumpkin Area,Pumpkin Production,Parble (potol) Area,Parble (potol) Production,Cabbage Area,Cabbage Production
4,Batiaghata,69,163,0,0,35,166
5,Dacope,255,607,0,0,15,52
6,Dighalia,50,212,0,0,22,143
7,Dumuria,278,921,76,110,368,2717
8,Khulna City Corporation,0,0,3,3,5,15
9,Koyra,13,23,0,0,7,16
10,Paikgachha,29,229,19,39,161,207
11,Phultala,9,40,2,3,12,162
12,Rupsa,84,235,0,0,87,1662
13,Terokhada,60,513,5,5,4,40
14,Total,847,2943,104,160,715,5179
