,0,1,2,3,4,5
0,"Number of Non-Registered Rickshaws, Van, Easy Bike and and Auto-Rickshaws, etc. 2011",,,,,
1,Khulna,,,,,
2,,,,,,
3,Upazila/city corporation,Rickshaw,Van,Easy bike and Auto-rickshaw,Tempo,Nochimon/Korimon/ bhotvoti
4,Batiaghata,44,3000,200,250,250
5,Dacope,0,850,0,0,100
6,Dighalia,58,512,11,2,5
7,Dumuria,0,98,16,6,315
8,Khulna City Corporation,1609,1184,159,38,8
9,Koyra,0,379,0,0,189
10,Paikgachha,0,895,6,0,705
11,Phultala,0,800,100,2,174
12,Rupsa,0,551,5,11,17
13,Terokhada,0,1276,0,0,103
14,Total,1711,9545,497,309,1866
