,0,1,2,3,4,5,6,7,8,9
0,Number of selected industry by upazila 2011,,,,,,,,,
1,Kishoreganj,,,,,,,,,
2,,,,,,,,,,
3, Upazila,Textile mill,Garments factory,Rice mill,Match factory,Steel and engineering, Aluminium,Jute mill,Sugar mill, Others
4,Austagram,0,0,93,0,0,0,0,0,0
5,Bajitpur,0,0,25,0,0,1,0,0,0
6,Bhairab,0,0,115,0,2,2,1,0,5
7,Hossainpur,0,0,880,0,0,0,0,0,0
8,Itna,0,0,0,0,0,0,0,0,0
9,Karimganj,0,0,52,0,0,0,0,0,0
10,Katiadi,0,0,10,0,0,0,0,0,0
11,Kishoreganj Sadar,2,0,148,0,0,0,0,0,0
12,Kuliar-char,0,0,45,0,0,0,0,0,0
13,Mithamain,0,0,01,0,0,0,0,0,0
14,Nikli,0,0,140,0,0,0,0,0,0
15,Pakundia,0,0,15,0,0,0,0,0,15
16,Tarail,0,0,62,0,0,0,0,0,0
17,Total,2,0,1586,0,2,3,1,0,20
